Temporalid,Temporalid 3,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb
FORMATIVO TARDIO,750 to 390 ,259,10613,41,17,17,137,28,34,190,18
FORMATIVO TARDIO,750 to 390 ,383,10186,58,27,17,188,3,49,212,44
FORMATIVO TARDIO,750 to 390 ,368,9857,69,22,15,176,3,54,213,43
FORMATIVO TARDIO,750 to 390 ,449,9633,51,19,16,169,5,52,197,42
FORMATIVO TARDIO,750 to 390 ,520,11062,59,24,22,189,5,55,225,45
FORMATIVO TARDIO,750 to 390 ,563,10219,69,24,15,180,5,53,215,45
FORMATIVO TARDIO,750 to 390 ,314,8907,60,19,22,157,5,49,192,39
FORMATIVO TARDIO,750 to 390 ,344,9554,72,18,17,166,5,49,206,44
FORMATIVO TARDIO,750 to 390 ,445,9620,54,21,17,166,2,49,209,46
FORMATIVO TARDIO,750 to 390 ,472,9460,58,16,16,171,6,49,208,43
FORMATIVO TARDIO,750 to 390 ,500,9739,63,21,22,168,5,49,218,40
FORMATIVO TARDIO,750 to 390 ,1378,19935,231,28,26,229,2,131,1019,99
FORMATIVO TARDIO,750 to 390 ,319,9658,60,24,19,173,4,54,208,41
FORMATIVO TARDIO,750 to 390 ,444,9711,64,20,17,165,5,50,203,41
FORMATIVO TARDIO,750 to 390 ,431,8407,55,23,16,166,6,47,193,39
FORMATIVO TARDIO,750 to 390 ,377,9960,73,20,21,166,5,53,213,45
FORMATIVO TARDIO,750 to 390 ,368,9906,66,24,15,176,5,52,253,43
FORMATIVO TARDIO,750 to 390 ,382,9331,72,21,13,166,4,51,201,39
FORMATIVO TARDIO,750 to 390 ,450,9394,52,21,17,175,4,53,205,41
FORMATIVO TARDIO,750 to 390 ,410,9126,57,21,17,165,5,47,199,40
FORMATIVO TARDIO,750 to 390 ,332,9588,46,20,15,170,5,50,207,40
FORMATIVO TARDIO,750 to 390 ,486,9571,47,21,16,177,4,52,219,44
FORMATIVO TARDIO,750 to 390 ,425,10098,58,23,19,180,4,55,225,44
FORMATIVO TARDIO,750 to 390 ,401,9896,66,21,17,175,4,49,212,46
FORMATIVO TARDIO,750 to 390 ,400,10294,67,20,18,174,5,56,216,46
FORMATIVO TARDIO,750 to 390 ,437,9261,55,20,17,173,4,48,201,40
FORMATIVO TARDIO,750 to 390 ,432,10319,69,25,24,189,5,60,220,45
FORMATIVO TARDIO,750 to 390 ,478,10861,96,21,20,190,7,54,245,44
FORMATIVO TARDIO,750 to 390 ,431,9214,52,23,15,165,4,48,206,41
FORMATIVO TARDIO,750 to 390 ,363,9648,60,23,17,180,4,54,210,42
FORMATIVO TARDIO,750 to 390 ,464,9533,53,18,21,171,3,48,210,42
FORMATIVO TARDIO,750 to 390 ,375,9282,49,24,21,168,4,52,202,41
FORMATIVO TARDIO,750 to 390 ,442,9366,68,20,17,177,4,50,199,43
FORMATIVO TARDIO,750 to 390 ,463,9694,73,22,16,173,4,51,211,40
FORMATIVO TARDIO,750 to 390 ,351,10438,76,21,16,185,3,53,221,44
FORMATIVO TARDIO,750 to 390 ,408,9301,68,21,17,175,6,52,214,43
FORMATIVO TARDIO,750 to 390 ,392,9263,58,18,15,168,5,50,204,39
FORMATIVO TARDIO,750 to 390 ,378,9780,51,22,19,179,7,48,214,41
FORMATIVO TARDIO,750 to 390 ,444,9094,49,18,16,156,5,45,199,38
FORMATIVO TARDIO,750 to 390 ,452,9537,50,20,16,164,6,53,206,45
FORMATIVO TARDIO,750 to 390 ,441,9408,67,21,15,172,5,50,209,42
FORMATIVO TARDIO,750 to 390 ,408,9319,61,23,20,171,4,52,213,40
FORMATIVO TARDIO,750 to 390 ,354,10015,59,22,16,176,5,48,212,41
FORMATIVO TARDIO,750 to 390 ,522,11222,69,25,19,200,5,54,224,46
FORMATIVO TARDIO,750 to 390 ,567,15393,84,34,29,249,6,70,262,54
FORMATIVO TARDIO,750 to 390 ,327,9285,49,17,15,168,4,47,210,43
FORMATIVO TARDIO,750 to 390 ,429,9986,58,21,18,175,6,51,222,44
FORMATIVO TARDIO,750 to 390 ,427,9742,52,20,14,177,4,52,202,43
FORMATIVO TARDIO,750 to 390 ,268,10014,59,22,16,170,5,55,210,43
FORMATIVO TARDIO,750 to 390 ,429,9800,48,23,19,175,6,48,210,45
FORMATIVO TARDIO,750 to 390 ,334,10856,53,25,18,173,5,51,228,44
FORMATIVO TARDIO,750 to 390 ,344,9369,56,22,20,171,3,51,201,42
FORMATIVO TARDIO,750 to 390 ,394,9391,58,22,19,161,5,48,197,42
FORMATIVO TARDIO,750 to 390 ,355,10124,63,27,18,173,4,55,210,45
FORMATIVO TARDIO,750 to 390 ,516,10348,64,24,22,180,4,52,215,42
FORMATIVO TARDIO,750 to 390 ,398,8955,53,22,15,167,5,44,198,42
FORMATIVO TARDIO,750 to 390 ,460,9442,50,19,14,167,3,47,201,41
FORMATIVO TARDIO,750 to 390 ,440,9363,66,19,18,169,4,53,199,38
FORMATIVO TARDIO,750 to 390 ,461,10213,68,23,22,182,8,56,222,46
FORMATIVO TARDIO,750 to 390 ,535,9728,55,20,16,171,5,49,202,43
FORMATIVO TARDIO,790 to 430 ,415,9398,54,23,14,169,4,46,209,39
FORMATIVO TARDIO,790 to 430 ,359,9331,56,19,19,163,5,49,210,41
FORMATIVO TARDIO,790 to 430 ,407,8951,49,20,14,155,5,48,198,42
FORMATIVO TARDIO,790 to 430 ,474,9204,68,18,15,162,6,49,197,41
FORMATIVO TARDIO,790 to 430 ,363,9879,58,22,18,180,5,52,219,43
FORMATIVO TARDIO,790 to 430 ,536,9946,57,23,17,176,6,51,207,44
FORMATIVO TARDIO,790 to 430 ,431,9951,53,24,20,173,5,52,211,42
FORMATIVO TARDIO,790 to 430 ,379,10456,63,24,18,181,6,53,248,44
FORMATIVO TARDIO,790 to 430 ,518,11421,99,27,17,199,4,61,238,46
FORMATIVO TARDIO,790 to 430 ,358,9549,56,22,19,169,5,52,206,42
FORMATIVO TARDIO,790 to 430 ,436,10104,63,19,17,172,3,55,216,44
FORMATIVO TARDIO,790 to 430 ,382,9564,59,24,20,175,4,49,213,41
FORMATIVO TARDIO,790 to 430 ,375,10930,68,26,22,195,5,57,242,49
FORMATIVO TARDIO,790 to 430 ,334,9586,68,18,15,174,5,51,207,41
FORMATIVO TARDIO,790 to 430 ,439,9741,66,21,21,181,5,52,209,42
FORMATIVO TARDIO,790 to 430 ,347,9320,55,21,17,164,5,49,203,40
FORMATIVO TARDIO,790 to 430 ,394,10246,54,21,22,174,6,56,213,41
FORMATIVO TARDIO,790 to 430 ,470,9772,58,24,18,179,5,52,228,44
FORMATIVO TARDIO,790 to 430 ,384,9882,63,23,21,185,5,54,214,43
FORMATIVO TARDIO,790 to 430 ,338,9272,48,19,16,170,3,50,209,40
FORMATIVO TARDIO,790 to 430 ,464,10987,73,26,23,186,4,54,229,47
FORMATIVO TARDIO,790 to 430 ,477,9724,55,23,17,172,4,49,204,40
FORMATIVO TARDIO,790 to 430 ,469,10431,72,24,21,188,4,51,222,43
FORMATIVO TARDIO,790 to 430 ,367,9610,52,23,21,176,6,52,210,43
FORMATIVO TARDIO,790 to 430 ,425,10559,75,21,21,184,5,55,250,42
FORMATIVO TARDIO,790 to 430 ,448,9770,51,22,19,173,5,51,207,42
FORMATIVO TARDIO,790 to 430 ,357,9451,46,19,16,164,5,54,203,40
FORMATIVO TARDIO,790 to 430 ,399,9331,62,19,17,162,6,54,203,42
FORMATIVO TARDIO,790 to 430 ,344,10165,69,17,16,176,4,51,223,40
FORMATIVO TARDIO,790 to 430 ,457,10274,68,24,17,193,5,54,219,41
FORMATIVO MEDIO,900 to 800 ,341,10287,29,20,12,130,130,21,143,13
FORMATIVO MEDIO,900 to 800 ,502,10958,59,25,9,144,136,27,144,15
FORMATIVO MEDIO,900 to 800 ,469,10445,50,23,12,137,144,26,157,16
FORMATIVO MEDIO,900 to 800 ,458,10062,67,25,15,187,6,48,208,40
FORMATIVO MEDIO,900 to 800 ,457,8217,53,20,11,119,73,22,100,13
FORMATIVO MEDIO,900 to 800 ,482,9322,67,18,20,161,6,53,203,40
FORMATIVO MEDIO,900 to 800 ,354,10263,43,21,19,146,27,36,198,16
FORMATIVO MEDIO,900 to 800 ,523,11303,47,20,13,138,135,28,154,16
FORMATIVO MEDIO,900 to 800 ,451,9485,60,21,17,164,4,46,198,43
FORMATIVO MEDIO,900 to 800 ,306,8708,58,21,20,155,4,51,197,39
FORMATIVO MEDIO,900 to 800 ,262,10949,40,23,24,154,29,39,200,18
FORMATIVO MEDIO,900 to 800 ,572,10144,47,22,12,134,126,24,142,15
FORMATIVO MEDIO,900 to 800 ,410,9176,49,15,10,131,129,22,134,12
FORMATIVO MEDIO,900 to 800 ,509,20352,187,23,13,129,13,95,688,48
FORMATIVO MEDIO,900 to 800 ,492,10538,69,29,20,186,4,54,221,46
FORMATIVO MEDIO,900 to 800 ,471,10865,67,24,17,192,4,52,231,47
FORMATIVO MEDIO,900 to 800 ,450,9618,57,19,20,168,5,50,213,41
FORMATIVO MEDIO,900 to 800 ,476,10874,76,26,15,183,8,51,225,45
FORMATIVO MEDIO,900 to 800 ,440,10216,77,20,15,180,5,54,217,43
FORMATIVO MEDIO,900 to 800 ,407,9018,59,17,17,161,6,46,204,39
FORMATIVO MEDIO,900 to 800 ,526,19719,163,23,10,127,15,90,639,47
FORMATIVO MEDIO,900 to 800 ,457,10683,52,20,5,141,133,23,149,15
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
